,Geography,Geographic_Area_Name,Total,Total_Male,Total_Male_Under_5_years,Total_Male_5_to_9_years,Total_Male_10_to_14_years,Total_Male_15_to_17_years,Total_Male_18_and_19_years,Total_Male_20_years,Total_Male_21_years,Total_Male_22_to_24_years,Total_Male_25_to_29_years,Total_Male_30_to_34_years,Total_Male_35_to_39_years,Total_Male_40_to_44_years,Total_Male_45_to_49_years,Total_Male_50_to_54_years,Total_Male_55_to_59_years,Total_Male_60_and_61_years,Total_Male_62_to_64_years,Total_Male_65_and_66_years,Total_Male_67_to_69_years,Total_Male_70_to_74_years,Total_Male_75_to_79_years,Total_Male_80_to_84_years,Total_Male_85_years_and_over,Total_Female,Total_Female_Under_5_years,Total_Female_5_to_9_years,Total_Female_10_to_14_years,Total_Female_15_to_17_years,Total_Female_18_and_19_years,Total_Female_20_years,Total_Female_21_years,Total_Female_22_to_24_years,Total_Female_25_to_29_years,Total_Female_30_to_34_years,Total_Female_35_to_39_years,Total_Female_40_to_44_years,Total_Female_45_to_49_years,Total_Female_50_to_54_years,Total_Female_55_to_59_years,Total_Female_60_and_61_years,Total_Female_62_to_64_years,Total_Female_65_and_66_years,Total_Female_67_to_69_years,Total_Female_70_to_74_years,Total_Female_75_to_79_years,Total_Female_80_to_84_years,Total_Female_85_years_and_over
1,0500000US01003,"Baldwin County, Alabama",223234,109192,5735,5849,8901,5219,2451,1302,623,3692,6008,5757,8245,5845,6458,6270,7620,2397,5247,2480,3604,7170,3677,2851,1791,114042,4881,6977,5472,3869,2871,1225,1272,3178,5799,6837,8123,6264,6803,7754,8805,3882,3915,2754,5207,7703,6276,1621,2554
2,0500000US01015,"Calhoun County, Alabama",113605,54285,3359,3007,3617,2518,1851,434,306,1654,3659,4153,4400,2947,3160,3032,3164,1859,2422,954,1729,2658,1541,960,901,59320,3340,2527,4157,1949,1223,955,1011,2613,3429,3740,3583,3464,3764,3398,4225,2003,2126,1220,2311,3226,2464,1630,962
3,0500000US01043,"Cullman County, Alabama",83768,40579,2323,2534,2846,1540,862,467,567,1066,2859,2561,2489,2531,2889,2662,2279,1609,1561,578,1095,2596,1411,593,661,43189,2987,2029,3060,1494,695,405,988,1110,2543,2625,1885,3376,3227,2573,2773,825,2105,433,1513,2914,1396,1322,911
4,0500000US01049,"DeKalb County, Alabama",71513,35688,1942,2752,2976,1237,1229,379,745,1603,2082,2483,2019,2095,2185,2203,2011,1287,1101,852,1228,1281,1476,437,85,35825,2636,1540,2543,1808,854,446,679,1137,2199,1672,2275,2628,2152,2231,2995,738,713,781,1028,1915,1589,431,835
5,0500000US01051,"Elmore County, Alabama",81209,40060,2445,3459,2390,1637,874,104,269,1400,2654,4156,2869,1910,2739,2238,2189,1129,1885,469,934,2306,883,632,489,41149,1827,3179,1422,1692,693,129,575,1561,3511,2800,2477,2828,3011,2585,2500,1466,1845,584,1537,1915,1447,900,665
6,0500000US01055,"Etowah County, Alabama",102268,49278,3013,2911,3890,1471,1202,1003,322,1464,3366,2966,2751,3159,3465,3141,3185,1481,1829,1629,1411,2279,1593,1212,535,52990,2636,3012,3538,1518,917,789,621,2217,3010,2944,2671,3353,3389,3588,3287,1905,2260,1439,1925,2675,1904,1692,1700
7,0500000US01069,"Houston County, Alabama",105882,50666,3416,2982,3965,2201,1176,600,923,1425,3432,3134,2631,3662,3171,3034,3796,1185,1783,1226,1292,2522,1503,842,765,55216,3221,2865,3580,2056,1190,497,769,1562,3796,3506,3354,3567,3527,3348,4072,1410,2025,1665,1302,3123,1999,1497,1285
8,0500000US01073,"Jefferson County, Alabama",658573,310898,21353,19640,22851,12118,7966,4956,3067,12148,23885,21565,21124,18805,18772,18286,18589,8394,12175,7561,9566,11942,6967,5301,3867,347675,20895,19914,20685,11926,8535,5114,3549,12038,25554,24473,21651,22612,21028,20140,22473,11975,12021,8747,10854,16315,9805,8952,8419
9,0500000US01077,"Lauderdale County, Alabama",92729,44783,1982,1999,3349,2106,1239,1191,929,1755,2887,2391,3467,1838,2539,2868,2494,1286,2148,1327,1616,2090,1815,1085,382,47946,1980,1712,3513,1645,1371,936,682,2073,2620,2935,3074,2218,2543,3059,3455,1369,1852,1124,2775,2331,1485,1892,1302
10,0500000US01081,"Lee County, Alabama",164542,82405,5377,7183,3690,3268,3057,2794,3593,4331,5984,4963,7559,4032,4248,4595,4193,1581,2642,1884,1544,2667,1813,931,476,82137,3135,5479,3813,2775,4940,3726,1746,4309,5792,5780,4816,5994,4422,4551,5119,1274,3036,1136,1524,4045,2576,931,1218
11,0500000US01083,"Limestone County, Alabama",98915,48960,3042,2678,3222,2225,713,649,294,2160,3402,2758,3119,3755,4078,3346,3353,1300,1563,1265,1118,2239,1190,991,500,49955,2894,2863,3134,2349,2238,892,496,625,2780,3346,2780,3446,2973,3763,2731,1051,2617,1555,1025,2542,1412,1649,794
12,0500000US01089,"Madison County, Alabama",372909,181052,10651,11002,12022,6629,5081,3214,2560,6866,13479,13201,14084,8849,10908,11908,12716,4889,7667,3629,4912,6969,3864,3059,2893,191857,11209,9322,13643,6238,5290,1934,2985,7127,13007,12993,13646,9477,12214,13174,13608,5461,7965,3589,5312,9283,5988,4416,3976
13,0500000US01095,"Marshall County, Alabama",96774,46375,2392,3024,3472,1916,833,204,953,1935,3075,3046,2481,3578,2885,2907,2988,1170,2206,965,1404,2217,1706,587,431,50399,4449,3300,2991,2791,1166,438,455,1699,2902,3076,2670,2678,2978,3238,3035,1352,1754,886,1986,2335,1442,1553,1225
