"GEO_ID","NAME","B01003_001E","B01003_001M","B01003_001MA","B01003_001EA",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Annotation of Margin of Error!!Total","Annotation of Estimate!!Total",
"0500000US01003","Baldwin County, Alabama","223234","*****","*****","null",
"0500000US01015","Calhoun County, Alabama","113605","*****","*****","null",
"0500000US01043","Cullman County, Alabama","83768","*****","*****","null",
"0500000US01049","DeKalb County, Alabama","71513","*****","*****","null",
"0500000US01051","Elmore County, Alabama","81209","*****","*****","null",
"0500000US01055","Etowah County, Alabama","102268","*****","*****","null",
"0500000US01069","Houston County, Alabama","105882","*****","*****","null",
"0500000US01073","Jefferson County, Alabama","658573","*****","*****","null",
"0500000US01077","Lauderdale County, Alabama","92729","*****","*****","null",
"0500000US01081","Lee County, Alabama","164542","*****","*****","null",
"0500000US01083","Limestone County, Alabama","98915","*****","*****","null",
"0500000US01089","Madison County, Alabama","372909","*****","*****","null",
"0500000US01095","Marshall County, Alabama","96774","*****","*****","null",
"0500000US01097","Mobile County, Alabama","413210","*****","*****","null",
"0500000US01101","Montgomery County, Alabama","226486","*****","*****","null",
"0500000US01103","Morgan County, Alabama","119679","*****","*****","null",
"0500000US01115","St. Clair County, Alabama","89512","*****","*****","null",
"0500000US01117","Shelby County, Alabama","217702","*****","*****","null",
"0500000US01121","Talladega County, Alabama","79978","*****","*****","null",
"0500000US01125","Tuscaloosa County, Alabama","209355","*****","*****","null",
"0500000US01127","Walker County, Alabama","63521","*****","*****","null",
"0500000US02020","Anchorage Municipality, Alaska","288000","*****","*****","null",
"0500000US02090","Fairbanks North Star Borough, Alaska","96849","*****","*****","null",
"0500000US02170","Matanuska-Susitna Borough, Alaska","108317","*****","*****","null",
"0500000US04001","Apache County, Arizona","71887","*****","*****","null",
"0500000US04003","Cochise County, Arizona","125922","*****","*****","null",
"0500000US04005","Coconino County, Arizona","143476","*****","*****","null",
"0500000US04013","Maricopa County, Arizona","4485414","*****","*****","null",
"0500000US04015","Mohave County, Arizona","212181","*****","*****","null",
"0500000US04017","Navajo County, Arizona","110924","*****","*****","null",
"0500000US04019","Pima County, Arizona","1047279","*****","*****","null",
