"GEO_ID","NAME","B01001_001E","B01001_001EA","B01001_001M","B01001_001MA","B01001_002E","B01001_002M","B01001_002MA","B01001_002EA","B01001_003E","B01001_003EA","B01001_003M","B01001_003MA","B01001_004E","B01001_004EA","B01001_004M","B01001_004MA","B01001_005E","B01001_005EA","B01001_005M","B01001_005MA","B01001_006E","B01001_006EA","B01001_006M","B01001_006MA","B01001_007E","B01001_007EA","B01001_007M","B01001_007MA","B01001_008E","B01001_008M","B01001_008MA","B01001_008EA","B01001_009E","B01001_009EA","B01001_009M","B01001_009MA","B01001_010E","B01001_010EA","B01001_010M","B01001_010MA","B01001_011E","B01001_011EA","B01001_011M","B01001_011MA","B01001_012E","B01001_012EA","B01001_012M","B01001_012MA","B01001_013E","B01001_013EA","B01001_013M","B01001_013MA","B01001_014E","B01001_014EA","B01001_014M","B01001_014MA","B01001_015E","B01001_015EA","B01001_015M","B01001_015MA","B01001_016E","B01001_016EA","B01001_016M","B01001_016MA","B01001_017E","B01001_017EA","B01001_017M","B01001_017MA","B01001_018E","B01001_018EA","B01001_018M","B01001_018MA","B01001_019E","B01001_019M","B01001_019MA","B01001_019EA","B01001_020E","B01001_020EA","B01001_020M","B01001_020MA","B01001_021E","B01001_021EA","B01001_021M","B01001_021MA","B01001_022E","B01001_022EA","B01001_022M","B01001_022MA","B01001_023E","B01001_023EA","B01001_023M","B01001_023MA","B01001_024E","B01001_024M","B01001_024MA","B01001_024EA","B01001_025E","B01001_025EA","B01001_025M","B01001_025MA","B01001_026E","B01001_026EA","B01001_026M","B01001_026MA","B01001_027E","B01001_027EA","B01001_027M","B01001_027MA","B01001_028E","B01001_028M","B01001_028MA","B01001_028EA","B01001_029E","B01001_029EA","B01001_029M","B01001_029MA","B01001_030E","B01001_030M","B01001_030MA","B01001_030EA","B01001_031E","B01001_031EA","B01001_031M","B01001_031MA","B01001_032E","B01001_032EA","B01001_032M","B01001_032MA","B01001_033E","B01001_033EA","B01001_033M","B01001_033MA","B01001_034E","B01001_034EA","B01001_034M","B01001_034MA","B01001_035E","B01001_035EA","B01001_035M","B01001_035MA","B01001_036E","B01001_036EA","B01001_036M","B01001_036MA","B01001_037E","B01001_037EA","B01001_037M","B01001_037MA","B01001_038E","B01001_038EA","B01001_038M","B01001_038MA","B01001_039E","B01001_039M","B01001_039MA","B01001_039EA","B01001_040E","B01001_040EA","B01001_040M","B01001_040MA","B01001_041E","B01001_041EA","B01001_041M","B01001_041MA","B01001_042E","B01001_042EA","B01001_042M","B01001_042MA","B01001_043E","B01001_043EA","B01001_043M","B01001_043MA","B01001_044E","B01001_044M","B01001_044MA","B01001_044EA","B01001_045E","B01001_045EA","B01001_045M","B01001_045MA","B01001_046E","B01001_046EA","B01001_046M","B01001_046MA","B01001_047E","B01001_047EA","B01001_047M","B01001_047MA","B01001_048E","B01001_048M","B01001_048MA","B01001_048EA","B01001_049E","B01001_049EA","B01001_049M","B01001_049MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Annotation of Margin of Error!!Total:!!Male:","Annotation of Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Annotation of Estimate!!Total:!!Male:!!Under 5 years","Margin of Error!!Total:!!Male:!!Under 5 years","Annotation of Margin of Error!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Annotation of Estimate!!Total:!!Male:!!5 to 9 years","Margin of Error!!Total:!!Male:!!5 to 9 years","Annotation of Margin of Error!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Annotation of Estimate!!Total:!!Male:!!10 to 14 years","Margin of Error!!Total:!!Male:!!10 to 14 years","Annotation of Margin of Error!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Annotation of Estimate!!Total:!!Male:!!15 to 17 years","Margin of Error!!Total:!!Male:!!15 to 17 years","Annotation of Margin of Error!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Annotation of Estimate!!Total:!!Male:!!18 and 19 years","Margin of Error!!Total:!!Male:!!18 and 19 years","Annotation of Margin of Error!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Margin of Error!!Total:!!Male:!!20 years","Annotation of Margin of Error!!Total:!!Male:!!20 years","Annotation of Estimate!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Annotation of Estimate!!Total:!!Male:!!21 years","Margin of Error!!Total:!!Male:!!21 years","Annotation of Margin of Error!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Annotation of Estimate!!Total:!!Male:!!22 to 24 years","Margin of Error!!Total:!!Male:!!22 to 24 years","Annotation of Margin of Error!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Annotation of Estimate!!Total:!!Male:!!25 to 29 years","Margin of Error!!Total:!!Male:!!25 to 29 years","Annotation of Margin of Error!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Annotation of Estimate!!Total:!!Male:!!30 to 34 years","Margin of Error!!Total:!!Male:!!30 to 34 years","Annotation of Margin of Error!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Annotation of Estimate!!Total:!!Male:!!35 to 39 years","Margin of Error!!Total:!!Male:!!35 to 39 years","Annotation of Margin of Error!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Annotation of Estimate!!Total:!!Male:!!40 to 44 years","Margin of Error!!Total:!!Male:!!40 to 44 years","Annotation of Margin of Error!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Annotation of Estimate!!Total:!!Male:!!45 to 49 years","Margin of Error!!Total:!!Male:!!45 to 49 years","Annotation of Margin of Error!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Annotation of Estimate!!Total:!!Male:!!50 to 54 years","Margin of Error!!Total:!!Male:!!50 to 54 years","Annotation of Margin of Error!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Annotation of Estimate!!Total:!!Male:!!55 to 59 years","Margin of Error!!Total:!!Male:!!55 to 59 years","Annotation of Margin of Error!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Annotation of Estimate!!Total:!!Male:!!60 and 61 years","Margin of Error!!Total:!!Male:!!60 and 61 years","Annotation of Margin of Error!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Margin of Error!!Total:!!Male:!!62 to 64 years","Annotation of Margin of Error!!Total:!!Male:!!62 to 64 years","Annotation of Estimate!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Annotation of Estimate!!Total:!!Male:!!65 and 66 years","Margin of Error!!Total:!!Male:!!65 and 66 years","Annotation of Margin of Error!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Annotation of Estimate!!Total:!!Male:!!67 to 69 years","Margin of Error!!Total:!!Male:!!67 to 69 years","Annotation of Margin of Error!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Annotation of Estimate!!Total:!!Male:!!70 to 74 years","Margin of Error!!Total:!!Male:!!70 to 74 years","Annotation of Margin of Error!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Annotation of Estimate!!Total:!!Male:!!75 to 79 years","Margin of Error!!Total:!!Male:!!75 to 79 years","Annotation of Margin of Error!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Margin of Error!!Total:!!Male:!!80 to 84 years","Annotation of Margin of Error!!Total:!!Male:!!80 to 84 years","Annotation of Estimate!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Annotation of Estimate!!Total:!!Male:!!85 years and over","Margin of Error!!Total:!!Male:!!85 years and over","Annotation of Margin of Error!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Annotation of Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Annotation of Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Annotation of Estimate!!Total:!!Female:!!Under 5 years","Margin of Error!!Total:!!Female:!!Under 5 years","Annotation of Margin of Error!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Margin of Error!!Total:!!Female:!!5 to 9 years","Annotation of Margin of Error!!Total:!!Female:!!5 to 9 years","Annotation of Estimate!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Annotation of Estimate!!Total:!!Female:!!10 to 14 years","Margin of Error!!Total:!!Female:!!10 to 14 years","Annotation of Margin of Error!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Margin of Error!!Total:!!Female:!!15 to 17 years","Annotation of Margin of Error!!Total:!!Female:!!15 to 17 years","Annotation of Estimate!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Annotation of Estimate!!Total:!!Female:!!18 and 19 years","Margin of Error!!Total:!!Female:!!18 and 19 years","Annotation of Margin of Error!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Annotation of Estimate!!Total:!!Female:!!20 years","Margin of Error!!Total:!!Female:!!20 years","Annotation of Margin of Error!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Annotation of Estimate!!Total:!!Female:!!21 years","Margin of Error!!Total:!!Female:!!21 years","Annotation of Margin of Error!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Annotation of Estimate!!Total:!!Female:!!22 to 24 years","Margin of Error!!Total:!!Female:!!22 to 24 years","Annotation of Margin of Error!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Annotation of Estimate!!Total:!!Female:!!25 to 29 years","Margin of Error!!Total:!!Female:!!25 to 29 years","Annotation of Margin of Error!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Annotation of Estimate!!Total:!!Female:!!30 to 34 years","Margin of Error!!Total:!!Female:!!30 to 34 years","Annotation of Margin of Error!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Annotation of Estimate!!Total:!!Female:!!35 to 39 years","Margin of Error!!Total:!!Female:!!35 to 39 years","Annotation of Margin of Error!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Annotation of Estimate!!Total:!!Female:!!40 to 44 years","Margin of Error!!Total:!!Female:!!40 to 44 years","Annotation of Margin of Error!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Margin of Error!!Total:!!Female:!!45 to 49 years","Annotation of Margin of Error!!Total:!!Female:!!45 to 49 years","Annotation of Estimate!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Annotation of Estimate!!Total:!!Female:!!50 to 54 years","Margin of Error!!Total:!!Female:!!50 to 54 years","Annotation of Margin of Error!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Annotation of Estimate!!Total:!!Female:!!55 to 59 years","Margin of Error!!Total:!!Female:!!55 to 59 years","Annotation of Margin of Error!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Annotation of Estimate!!Total:!!Female:!!60 and 61 years","Margin of Error!!Total:!!Female:!!60 and 61 years","Annotation of Margin of Error!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Annotation of Estimate!!Total:!!Female:!!62 to 64 years","Margin of Error!!Total:!!Female:!!62 to 64 years","Annotation of Margin of Error!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Margin of Error!!Total:!!Female:!!65 and 66 years","Annotation of Margin of Error!!Total:!!Female:!!65 and 66 years","Annotation of Estimate!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Annotation of Estimate!!Total:!!Female:!!67 to 69 years","Margin of Error!!Total:!!Female:!!67 to 69 years","Annotation of Margin of Error!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Annotation of Estimate!!Total:!!Female:!!70 to 74 years","Margin of Error!!Total:!!Female:!!70 to 74 years","Annotation of Margin of Error!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Annotation of Estimate!!Total:!!Female:!!75 to 79 years","Margin of Error!!Total:!!Female:!!75 to 79 years","Annotation of Margin of Error!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Margin of Error!!Total:!!Female:!!80 to 84 years","Annotation of Margin of Error!!Total:!!Female:!!80 to 84 years","Annotation of Estimate!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over","Annotation of Estimate!!Total:!!Female:!!85 years and over","Margin of Error!!Total:!!Female:!!85 years and over","Annotation of Margin of Error!!Total:!!Female:!!85 years and over",
"0500000US01003","Baldwin County, Alabama","223234","null","*****","*****","109192","1466","null","null","5735","null","840","null","5849","null","1695","null","8901","null","2118","null","5219","null","1017","null","2451","null","583","null","1302","721","null","null","623","null","506","null","3692","null","998","null","6008","null","911","null","5757","null","632","null","8245","null","1696","null","5845","null","1873","null","6458","null","621","null","6270","null","313","null","7620","null","1301","null","2397","null","1131","null","5247","1258","null","null","2480","null","719","null","3604","null","830","null","7170","null","921","null","3677","null","774","null","2851","937","null","null","1791","null","767","null","114042","null","1466","null","4881","null","560","null","6977","1527","null","null","5472","null","1356","null","3869","559","null","null","2871","null","785","null","1225","null","1074","null","1272","null","856","null","3178","null","955","null","5799","null","435","null","6837","null","1080","null","8123","null","1705","null","6264","null","1578","null","6803","405","null","null","7754","null","906","null","8805","null","1395","null","3882","null","1288","null","3915","null","986","null","2754","926","null","null","5207","null","1354","null","7703","null","1387","null","6276","null","1367","null","1621","783","null","null","2554","null","1078","null",
"0500000US01015","Calhoun County, Alabama","113605","null","*****","*****","54285","701","null","null","3359","null","470","null","3007","null","1002","null","3617","null","887","null","2518","null","391","null","1851","null","770","null","434","394","null","null","306","null","221","null","1654","null","810","null","3659","null","700","null","4153","null","793","null","4400","null","958","null","2947","null","734","null","3160","null","333","null","3032","null","293","null","3164","null","764","null","1859","null","715","null","2422","743","null","null","954","null","592","null","1729","null","565","null","2658","null","669","null","1541","null","430","null","960","474","null","null","901","null","435","null","59320","null","701","null","3340","null","475","null","2527","761","null","null","4157","null","801","null","1949","278","null","null","1223","null","390","null","955","null","660","null","1011","null","469","null","2613","null","840","null","3429","null","536","null","3740","null","348","null","3583","null","756","null","3464","null","738","null","3764","325","null","null","3398","null","428","null","4225","null","803","null","2003","null","628","null","2126","null","540","null","1220","649","null","null","2311","null","685","null","3226","null","723","null","2464","null","559","null","1630","556","null","null","962","null","359","null",
"0500000US01043","Cullman County, Alabama","83768","null","*****","*****","40579","905","null","null","2323","null","115","null","2534","null","615","null","2846","null","800","null","1540","null","140","null","862","null","87","null","467","447","null","null","567","null","368","null","1066","null","457","null","2859","null","258","null","2561","null","162","null","2489","null","832","null","2531","null","670","null","2889","null","305","null","2662","null","79","null","2279","null","483","null","1609","null","477","null","1561","576","null","null","578","null","308","null","1095","null","362","null","2596","null","419","null","1411","null","418","null","593","293","null","null","661","null","432","null","43189","null","905","null","2987","null","609","null","2029","575","null","null","3060","null","673","null","1494","223","null","null","695","null","405","null","405","null","395","null","988","null","567","null","1110","null","584","null","2543","null","206","null","2625","null","350","null","1885","null","602","null","3376","null","695","null","3227","703","null","null","2573","null","169","null","2773","null","595","null","825","null","499","null","2105","null","467","null","433","284","null","null","1513","null","497","null","2914","null","573","null","1396","null","395","null","1322","414","null","null","911","null","293","null",
"0500000US01049","DeKalb County, Alabama","71513","null","*****","*****","35688","884","null","null","1942","null","537","null","2752","null","662","null","2976","null","811","null","1237","null","185","null","1229","null","519","null","379","314","null","null","745","null","438","null","1603","null","590","null","2082","null","285","null","2483","null","591","null","2019","null","715","null","2095","null","486","null","2185","null","243","null","2203","null","242","null","2011","null","593","null","1287","null","507","null","1101","466","null","null","852","null","451","null","1228","null","460","null","1281","null","434","null","1476","null","279","null","437","272","null","null","85","null","82","null","35825","null","884","null","2636","null","348","null","1540","731","null","null","2543","null","861","null","1808","447","null","null","854","null","324","null","446","null","578","null","679","null","393","null","1137","null","473","null","2199","null","340","null","1672","null","181","null","2275","null","771","null","2628","null","613","null","2152","207","null","null","2231","null","231","null","2995","null","611","null","738","null","400","null","713","null","430","null","781","373","null","null","1028","null","441","null","1915","null","487","null","1589","null","416","null","431","288","null","null","835","null","405","null",
"0500000US01051","Elmore County, Alabama","81209","null","*****","*****","40060","882","null","null","2445","null","503","null","3459","null","870","null","2390","null","796","null","1637","null","556","null","874","null","228","null","104","193","null","null","269","null","270","null","1400","null","205","null","2654","null","568","null","4156","null","858","null","2869","null","707","null","1910","null","631","null","2739","null","320","null","2238","null","261","null","2189","null","519","null","1129","null","462","null","1885","494","null","null","469","null","261","null","934","null","356","null","2306","null","518","null","883","null","387","null","632","313","null","null","489","null","389","null","41149","null","882","null","1827","null","371","null","3179","994","null","null","1422","null","603","null","1692","559","null","null","693","null","182","null","129","null","191","null","575","null","490","null","1561","null","366","null","3511","null","614","null","2800","null","428","null","2477","null","724","null","2828","null","773","null","3011","340","null","null","2585","null","350","null","2500","null","685","null","1466","null","598","null","1845","null","693","null","584","257","null","null","1537","null","484","null","1915","null","470","null","1447","null","427","null","900","521","null","null","665","null","373","null",
"0500000US01055","Etowah County, Alabama","102268","null","*****","*****","49278","648","null","null","3013","null","413","null","2911","null","831","null","3890","null","743","null","1471","null","120","null","1202","null","409","null","1003","731","null","null","322","null","263","null","1464","null","417","null","3366","null","554","null","2966","null","426","null","2751","null","776","null","3159","null","828","null","3465","null","207","null","3141","null","237","null","3185","null","720","null","1481","null","593","null","1829","598","null","null","1629","null","600","null","1411","null","518","null","2279","null","521","null","1593","null","455","null","1212","412","null","null","535","null","273","null","52990","null","648","null","2636","null","377","null","3012","717","null","null","3538","null","684","null","1518","238","null","null","917","null","185","null","789","null","506","null","621","null","498","null","2217","null","751","null","3010","null","467","null","2944","null","445","null","2671","null","762","null","3353","null","884","null","3389","327","null","null","3588","null","493","null","3287","null","804","null","1905","null","698","null","2260","null","664","null","1439","530","null","null","1925","null","760","null","2675","null","624","null","1904","null","536","null","1692","650","null","null","1700","null","548","null",
"0500000US01069","Houston County, Alabama","105882","null","*****","*****","50666","251","null","null","3416","null","146","null","2982","null","433","null","3965","null","432","null","2201","null","111","null","1176","null","249","null","600","266","null","null","923","null","405","null","1425","null","412","null","3432","null","138","null","3134","null","126","null","2631","null","560","null","3662","null","541","null","3171","null","112","null","3034","null","2","null","3796","null","460","null","1185","null","259","null","1783","425","null","null","1226","null","291","null","1292","null","304","null","2522","null","368","null","1503","null","248","null","842","246","null","null","765","null","179","null","55216","null","251","null","3221","null","141","null","2865","421","null","null","3580","null","404","null","2056","76","null","null","1190","null","99","null","497","null","177","null","769","null","249","null","1562","null","297","null","3796","null","111","null","3506","null","110","null","3354","null","467","null","3567","null","472","null","3527","90","null","null","3348","null","48","null","4072","null","506","null","1410","null","411","null","2025","null","433","null","1665","362","null","null","1302","null","256","null","3123","null","335","null","1999","null","341","null","1497","322","null","null","1285","null","286","null",
"0500000US01073","Jefferson County, Alabama","658573","null","*****","*****","310898","947","null","null","21353","null","260","null","19640","null","1884","null","22851","null","1886","null","12118","null","498","null","7966","null","298","null","4956","1385","null","null","3067","null","986","null","12148","null","1590","null","23885","null","2","null","21565","null","614","null","21124","null","1855","null","18805","null","1904","null","18772","null","575","null","18286","null","487","null","18589","null","1685","null","8394","null","1352","null","12175","1561","null","null","7561","null","1118","null","9566","null","1404","null","11942","null","1305","null","6967","null","1160","null","5301","1002","null","null","3867","null","921","null","347675","null","947","null","20895","null","226","null","19914","1855","null","null","20685","null","1859","null","11926","499","null","null","8535","null","280","null","5114","null","1363","null","3549","null","1139","null","12038","null","1699","null","25554","null","323","null","24473","null","446","null","21651","null","2352","null","22612","null","2172","null","21028","817","null","null","20140","null","414","null","22473","null","1929","null","11975","null","1679","null","12021","null","1615","null","8747","1399","null","null","10854","null","1321","null","16315","null","1455","null","9805","null","1270","null","8952","1319","null","null","8419","null","1164","null",
"0500000US01077","Lauderdale County, Alabama","92729","null","*****","*****","44783","527","null","null","1982","null","180","null","1999","null","711","null","3349","null","872","null","2106","null","570","null","1239","null","594","null","1191","585","null","null","929","null","634","null","1755","null","742","null","2887","null","358","null","2391","null","336","null","3467","null","747","null","1838","null","844","null","2539","null","166","null","2868","null","392","null","2494","null","574","null","1286","null","475","null","2148","613","null","null","1327","null","509","null","1616","null","565","null","2090","null","699","null","1815","null","463","null","1085","443","null","null","382","null","261","null","47946","null","527","null","1980","null","329","null","1712","526","null","null","3513","null","707","null","1645","358","null","null","1371","null","769","null","936","null","453","null","682","null","436","null","2073","null","790","null","2620","null","351","null","2935","null","521","null","3074","null","682","null","2218","null","701","null","2543","115","null","null","3059","null","494","null","3455","null","659","null","1369","null","475","null","1852","null","614","null","1124","455","null","null","2775","null","706","null","2331","null","605","null","1485","null","434","null","1892","580","null","null","1302","null","540","null",
